lp,NazwaAplikacji,NumerModelowy,Wlasciciel,CzasTworzenia,Budzet,LiczbaPobran,CzyAplikacjaJestPlatna,DataWydania,OstatniaAktualizacjaOprogramowania
527,Bitchip,9477059988,Minerva Attyeo,301 dni,21741 zł,8277301,false,16.7.2015,9.9.2018
528,Quo Lux,8463634302,Foss Fozard,352 dni,29065 zł,1839818,false,11.4.2013,11.1.2016
529,Regrant,8354895964,Illa Checcuzzi,715 dni,40364 zł,4846568,true,1.10.2014,18.9.2020
530,Matsoft,8618391069,Craggie Snedden,879 dni,56509 zł,7233436,true,11.10.2014,11.5.2017
531,Rank,9199978634,Eryn Beteriss,278 dni,18707 zł,955668,true,20.10.2015,13.1.2018
532,Zamit,6641500919,Edmund Preedy,557 dni,53211 zł,88081,false,9.5.2013,2.1.2018
533,Otcom,2892117623,Carlin Stillman,39 dni,90453 zł,9546624,false,5.10.2014,2.6.2022
534,Bytecard,3339275400,Vivia Otto,92 dni,81829 zł,2967497,false,16.10.2012,10.6.2018
535,Cardify,9654155306,Onofredo Absalom,30 dni,40802 zł,3671238,false,18.4.2014,15.12.2018
536,Bamity,5569801955,Florry Gowlett,576 dni,50813 zł,9166824,false,14.1.2013,9.5.2016
537,Stim,4989817815,Alexis Campana,429 dni,61704 zł,2990784,false,16.10.2012,21.7.2017
538,Pannier,3904182167,Bay Roofe,654 dni,92980 zł,5758755,false,25.6.2013,15.1.2017
539,Alphazap,2413980749,Maxie Whiston,12 dni,84363 zł,1979408,false,13.10.2013,3.5.2019
540,Sonsing,6124323349,Neille Tummasutti,717 dni,43233 zł,670918,false,20.11.2013,24.4.2018
541,It,5774909926,Marjory Lenham,146 dni,32820 zł,4188086,false,16.5.2014,20.3.2021
542,Holdlamis,8738399921,Juditha Camplin,287 dni,39799 zł,9324369,true,8.10.2013,24.9.2019
543,Andalax,6760167233,Dorotea Dukelow,588 dni,6345 zł,405743,true,10.12.2015,28.6.2019
544,Bigtax,4247947739,Pete Attaway,783 dni,2152 zł,1627755,false,20.12.2012,26.5.2022
545,It,5140825708,Mallissa Lemmon,584 dni,16229 zł,1457583,true,8.10.2015,28.11.2021
546,Rank,8694146256,Antoni Brownett,618 dni,92026 zł,4496031,true,10.11.2013,11.10.2020
547,Gembucket,1339308502,Francyne Shrubsall,400 dni,21215 zł,6792334,false,5.7.2013,22.12.2017
548,Flexidy,9116515689,Aubert Lightbown,211 dni,13012 zł,4249197,false,19.2.2015,1.12.2019
549,Trippledex,3008818755,Ellerey Schubart,226 dni,43906 zł,968722,true,31.7.2014,3.6.2016
550,Y-find,3864999504,Gayla Ecclestone,871 dni,48384 zł,8085993,true,10.6.2014,2.6.2021
551,Toughjoyfax,423480920,Veronika Duerden,784 dni,41568 zł,8872943,true,19.7.2015,14.3.2016
552,Lotlux,5157763306,Brig Masters,732 dni,63576 zł,8641104,false,27.7.2013,2.3.2016
553,Konklux,9344341528,Tandy Robun,552 dni,12180 zł,3160463,false,15.8.2012,9.8.2017
554,Flexidy,9024669400,Demetris Craigmile,369 dni,57335 zł,252288,true,30.10.2013,28.5.2022
555,Latlux,674537756,Ashla Krabbe,279 dni,76265 zł,2065132,true,13.12.2013,14.9.2017
556,Daltfresh,5678156213,Raven Pheasey,127 dni,60866 zł,9378449,false,18.6.2015,29.8.2016
557,Prodder,484822183,Farand Goosey,114 dni,20753 zł,808317,false,2.2.2015,18.7.2022
558,Zamit,4784008013,Giffie McClinton,396 dni,54209 zł,3169334,false,10.5.2014,14.4.2019
559,Keylex,2636884287,Ewen Greswell,94 dni,55548 zł,2545969,true,23.4.2013,19.2.2018
560,Fix San,7712215134,Britta Chumley,334 dni,65768 zł,9587811,true,22.6.2015,29.6.2018
561,Fixflex,8164997779,Emmeline Maggs,473 dni,92309 zł,42827,true,3.7.2015,17.3.2020
562,Mat Lam Tam,2960373459,Laura Cuttelar,613 dni,95433 zł,4761829,false,22.7.2015,27.8.2021
563,Cookley,2343678738,Courtnay Coarser,181 dni,61867 zł,7899348,false,22.9.2015,17.1.2020
564,Aerified,4797236089,Damita Llewhellin,728 dni,55870 zł,3841600,false,10.2.2013,20.1.2016
565,Domainer,9024472521,Mildred Varndall,673 dni,80846 zł,2559417,false,9.1.2015,7.12.2017
566,Stringtough,1974957727,Vanni Ager,121 dni,25309 zł,167126,true,7.9.2013,10.1.2018
567,Konklux,5678884253,Gib Mattes,255 dni,94845 zł,8924360,false,7.12.2015,12.1.2017
568,Cardguard,4987641829,Sollie MacGebenay,132 dni,46548 zł,5648198,false,2.2.2014,4.5.2018
569,Span,8298457911,Sheilah Eagell,294 dni,70254 zł,7157950,false,22.5.2013,29.7.2021
570,Bitchip,852116454,Phillida Bowld,363 dni,1641 zł,6867739,true,30.8.2015,12.8.2016
571,Y-Solowarm,3007401045,Avrit Loble,324 dni,93326 zł,6862956,false,22.4.2015,27.1.2018
572,Matsoft,1983971952,Granthem Gouldeby,726 dni,64039 zł,1943335,true,16.4.2013,30.5.2019
573,Holdlamis,9681935414,Raphaela Brundale,501 dni,40173 zł,7662764,false,26.2.2015,10.3.2020
574,Sonair,3429328175,Goldarina McGilvra,12 dni,81555 zł,8730856,false,2.12.2014,2.2.2019
575,Bitchip,8890170937,Delly Kolinsky,588 dni,90017 zł,2662534,false,21.5.2014,31.1.2020
576,Asoka,5683053998,Grove McCrann,329 dni,12353 zł,8527603,true,9.3.2014,15.4.2018
577,Bigtax,9100402995,Virgilio Watt,39 dni,27119 zł,5646801,true,25.7.2014,10.3.2022
578,Daltfresh,2021127442,Donnell Squier,389 dni,24533 zł,629532,true,13.9.2015,26.2.2016
579,Rank,357198189,Hendrika Siddle,586 dni,20167 zł,1016023,true,5.3.2014,1.9.2018
580,Keylex,5580567968,Hailee Garwell,412 dni,80359 zł,8215041,true,22.7.2014,25.3.2016
581,Zontrax,4276687880,Arne Derbyshire,732 dni,92946 zł,9017352,false,20.11.2012,6.6.2016
582,Quo Lux,2091691293,Ulrich Colvie,677 dni,20073 zł,1722152,false,28.2.2015,1.4.2021
583,Duobam,6145410498,Giselle Edeson,437 dni,38181 zł,4234149,true,10.9.2013,16.9.2019
584,Daltfresh,137294389,Padgett Gaskins,554 dni,72379 zł,9423722,true,2.9.2014,18.9.2022
585,Redhold,5228356352,Nerita Shory,546 dni,71975 zł,9964191,false,27.1.2013,21.5.2018
586,Latlux,3914537903,Liane Bulbeck,82 dni,54416 zł,3242780,true,14.4.2015,6.2.2021
587,Pannier,5439968604,Ozzy Auchinleck,865 dni,93614 zł,667172,true,5.1.2013,10.5.2019
588,Stim,8972298710,Lyman Mountcastle,508 dni,74279 zł,4667538,true,6.9.2015,18.4.2022
589,Kanlam,6296437701,Quinton Rispin,864 dni,97352 zł,4857774,false,14.10.2015,3.11.2021
590,Toughjoyfax,1086219110,Kristi Cooksley,876 dni,66064 zł,6804035,false,6.10.2012,19.3.2020
591,Tresom,856878541,Lothario Duffree,748 dni,18327 zł,5290480,false,23.6.2014,10.3.2019
592,Zaam-Dox,5328459844,Ulrick Arni,193 dni,14099 zł,3167736,true,19.8.2014,2.11.2017
593,Konklab,4882273564,Christoffer Rubinowitch,610 dni,79888 zł,6317907,true,1.1.2013,20.3.2016
594,Aerified,7229970409,Ivory Simmons,398 dni,56468 zł,998195,true,28.8.2015,18.1.2019
595,Konklux,1870129881,Padraig Picker,448 dni,71093 zł,5257690,true,21.3.2015,11.9.2021
596,Stringtough,404640089,Clay Mc Caughen,624 dni,66834 zł,5574463,false,11.12.2012,4.9.2017
597,Mat Lam Tam,6844420498,Row Ciabatteri,876 dni,4778 zł,5853699,false,13.5.2015,18.12.2016
598,Viva,5353353782,Georgianne Jekyll,737 dni,52687 zł,3840198,true,30.3.2015,30.10.2016
599,Biodex,2713224443,Jannel Bowller,348 dni,9685 zł,9081136,false,15.12.2012,17.4.2018
600,Flowdesk,4037342887,Baxie Oliphant,679 dni,63068 zł,921925,false,24.8.2013,3.5.2016
601,Andalax,8822026854,Nada Bartley,635 dni,95628 zł,5420462,true,16.6.2014,12.7.2017
602,Fix San,5551428840,Yuma Micco,480 dni,5889 zł,8664260,false,26.5.2013,8.7.2021
603,Y-find,7891955310,Jessi Scriver,546 dni,56559 zł,1951673,true,17.10.2015,17.11.2017
604,Tampflex,7263745208,Simon Anchor,733 dni,32136 zł,1232522,false,25.5.2015,27.10.2019
605,Zamit,9577695689,Erinna Cejka,412 dni,49147 zł,4569745,true,30.12.2012,16.12.2016
606,Transcof,8468863982,Constantina Tatteshall,566 dni,91041 zł,7402690,true,21.7.2014,14.2.2021
607,Alphazap,3184517144,Dre Carson,389 dni,58518 zł,795571,true,12.8.2015,29.4.2022
608,Bitchip,3073843760,Sandro Spatoni,77 dni,14537 zł,1293264,true,27.12.2013,23.7.2018
609,Voyatouch,2644923958,Gifford Sherlock,312 dni,45852 zł,9248585,false,24.1.2014,28.3.2021
610,Asoka,2632220511,Wandie Sante,549 dni,37112 zł,2572355,true,14.1.2013,21.8.2021
611,Transcof,5597837435,L;urette Couve,66 dni,32735 zł,1891892,true,23.10.2014,26.4.2017
612,Home Ing,2876808530,Adena Laxson,882 dni,69822 zł,9511347,false,18.4.2013,21.12.2019
613,Andalax,1402502437,Torey Dudmarsh,587 dni,87018 zł,6590303,false,7.3.2014,26.5.2018
614,Hatity,5895486004,Hermie Meagh,288 dni,29045 zł,345383,false,5.5.2015,17.7.2016
615,Redhold,772469786,Cesare Schroder,224 dni,37447 zł,9789315,false,10.12.2015,4.4.2016
616,Overhold,7677682902,Bernadina Stein,15 dni,9251 zł,3412549,true,6.5.2013,19.12.2018
617,Cardguard,5134987697,Gerianna Simek,434 dni,53087 zł,341421,false,26.11.2012,30.3.2018
618,Cardify,563326051,Emelina Matuska,354 dni,69543 zł,8270031,false,5.2.2015,20.12.2015
619,Lotstring,9825855611,Chauncey Mallindine,615 dni,4983 zł,8425066,false,2.10.2013,8.8.2022
620,Rank,789373319,Legra Bunting,29 dni,6709 zł,6689371,false,27.7.2013,27.10.2017
621,Domainer,2906454923,Chaunce Aireton,491 dni,78659 zł,3258141,true,23.11.2012,29.7.2018
622,Bigtax,8754951898,Dicky Frisby,265 dni,82466 zł,826147,false,6.10.2014,14.1.2018
623,Zamit,3776914906,Gerri Hastler,506 dni,84324 zł,1058744,true,22.6.2013,19.5.2018
624,Latlux,7681531344,Dimitry Ibbetson,253 dni,80017 zł,4006534,false,23.2.2014,7.8.2017
625,Lotstring,7124516079,Marleah Lavin,415 dni,15917 zł,9063146,false,3.11.2014,24.11.2019
626,Fixflex,8946045772,Bryn Trayte,591 dni,59787 zł,5182235,false,1.11.2015,19.5.2017
627,Keylex,8876038019,Idell Caso,837 dni,22148 zł,5907148,false,4.1.2015,23.12.2020
628,Zaam-Dox,5624737905,Lissie Ruter,115 dni,61074 zł,7621987,false,28.2.2015,16.3.2021
629,Rank,2738339485,Arne Dietz,290 dni,9988 zł,7582264,false,25.4.2013,26.4.2020
630,Cookley,5443572710,Ian Fillan,516 dni,77310 zł,3778672,true,19.4.2015,4.4.2021
631,Domainer,4404221992,Marius Deacon,547 dni,36513 zł,867279,true,11.10.2014,16.1.2020
632,Bitwolf,122283113,Kimmie Wallentin,879 dni,70058 zł,8226444,true,26.8.2015,26.9.2019
633,Trippledex,4222829799,Sela Feaks,243 dni,9903 zł,9408931,false,17.9.2014,23.4.2017
634,Biodex,3422053198,Abe Targetter,338 dni,27177 zł,5813253,true,19.4.2014,28.6.2022
635,Fix San,6043763039,Lanae Dibb,40 dni,32127 zł,3773359,true,12.2.2014,21.6.2020
636,Ventosanzap,8836479294,Yehudit Yanson,80 dni,99264 zł,4826538,true,15.10.2014,23.11.2020
637,Treeflex,8755167065,Mae Leguey,293 dni,28152 zł,3614137,false,31.10.2014,22.10.2020
638,Biodex,6297103705,Brooks Crosston,888 dni,85 zł,5938276,false,3.12.2012,19.2.2018
639,Stringtough,6415350640,Tera Forder,820 dni,37486 zł,7998631,true,1.8.2014,5.2.2021
640,Andalax,6554206968,Lenee Darth,787 dni,23785 zł,1594529,false,19.6.2013,19.6.2018
641,Otcom,7722406017,Gualterio Andreas,289 dni,1082 zł,1330447,false,1.5.2014,30.8.2021
642,Subin,8953968307,Leanor Bryant,287 dni,1952 zł,154551,false,23.5.2014,29.7.2017
643,Lotlux,1592157400,Phaidra Piola,425 dni,7470 zł,7637091,true,5.12.2013,18.6.2019
644,Lotstring,1840605459,Raynell Bostock,66 dni,37414 zł,3507094,true,21.9.2013,8.9.2021
645,Greenlam,1097452476,Janifer Matteacci,249 dni,67359 zł,3003512,true,14.7.2014,14.3.2020
646,Solarbreeze,2197088324,Dyanne Hartfleet,648 dni,85527 zł,2886643,true,30.5.2015,10.6.2021
647,Mat Lam Tam,5678185299,Kissiah Ellwood,651 dni,58822 zł,6753157,true,23.9.2014,13.6.2022
648,Temp,8641165352,Loretta Bloan,435 dni,57524 zł,4806808,true,26.7.2014,14.4.2016
649,Tin,3163464327,Linette Naris,139 dni,11053 zł,7916201,true,5.1.2015,27.4.2018
650,Asoka,7734013395,Nessy Reddick,428 dni,52610 zł,8781870,false,18.4.2014,17.10.2022
651,Viva,1565633584,Wenonah Casbolt,407 dni,30713 zł,5162934,true,22.6.2015,3.4.2017
652,Tres-Zap,1984732780,Etty Dahlman,877 dni,79003 zł,2100209,false,6.6.2013,4.6.2021
653,Hatity,2609101306,Riane Kruschev,500 dni,97353 zł,2422582,true,22.3.2015,2.2.2019
654,Flexidy,8829999976,Kele Hasson,242 dni,17361 zł,462726,true,29.12.2014,19.11.2018
655,Latlux,3027498651,Dwain Rycraft,15 dni,54896 zł,6244098,false,6.12.2012,5.10.2019
656,Voyatouch,5707440695,Gilberte Ripsher,196 dni,82800 zł,6564953,false,14.3.2015,13.11.2020
657,Biodex,8352954057,Malcolm Megainey,756 dni,46829 zł,4481433,false,16.1.2013,24.11.2017
658,Stim,4941604350,Phyllys Devon,768 dni,29568 zł,3818678,false,10.3.2013,26.11.2017
659,Redhold,1938323251,Prescott Mersey,234 dni,85228 zł,1509638,false,2.3.2015,3.9.2016
660,Latlux,7555396436,Thomasa Northing,305 dni,86617 zł,3757333,false,4.3.2014,26.3.2019
661,Voltsillam,7880658906,Burke Berston,596 dni,79130 zł,8127819,false,14.2.2015,18.2.2018
662,Stringtough,3754603404,Nickolas Griffithe,464 dni,22242 zł,5878085,false,15.3.2015,6.2.2017
663,Flowdesk,9512165156,Halley Stedell,405 dni,44303 zł,314,true,24.10.2015,6.8.2021
664,Y-find,23436498,Jessie Londesborough,415 dni,49001 zł,9369202,true,25.3.2015,6.3.2017
665,Y-find,7086264101,Aldon Linzee,571 dni,35587 zł,1887476,false,28.2.2013,11.11.2017
666,Cardguard,5789871598,Foster Nears,533 dni,38363 zł,7722328,false,30.5.2014,6.10.2017
667,Keylex,3543920626,Arlin Ownsworth,649 dni,86226 zł,1309628,true,17.2.2015,25.11.2020
668,Trippledex,4562957434,Stacee Stonbridge,139 dni,90972 zł,1610149,true,2.3.2013,9.11.2018
669,Asoka,5900990215,Denis Menure,463 dni,17712 zł,8036471,false,9.8.2015,23.9.2021
670,Fixflex,7958838017,Sancho Sackes,618 dni,9503 zł,2245503,true,3.10.2012,1.7.2019
671,Sonair,7384633785,Yolande Piscopello,791 dni,23489 zł,9519833,false,30.5.2015,28.6.2016
672,Alphazap,3758138222,Chan Kingshott,549 dni,35925 zł,7252415,false,28.7.2015,3.12.2021
673,Solarbreeze,4093636866,Kinnie Beevers,574 dni,39017 zł,5347311,true,6.11.2015,13.12.2021
674,Prodder,8154782433,Odelinda Cridge,819 dni,45950 zł,3684956,true,22.2.2013,19.10.2021
675,Stringtough,9783672708,Delainey Kebbell,557 dni,69625 zł,1785776,true,15.7.2014,8.7.2019
676,Overhold,8904017685,Darin Patley,205 dni,32682 zł,6276978,false,26.2.2014,26.2.2016
677,Solarbreeze,5453804158,Kendricks Kiera,774 dni,34921 zł,4305105,false,5.9.2014,6.4.2017
678,Regrant,9443632055,Jeanelle Gypson,867 dni,42266 zł,557202,false,16.8.2014,6.9.2017
679,Greenlam,1207107364,Luce Danbrook,388 dni,99294 zł,583288,false,27.1.2015,25.5.2022
680,Rank,7018271118,Tracy Giff,617 dni,86504 zł,7214039,false,29.12.2013,29.12.2019
681,Temp,6015935530,Lilian De Cleen,195 dni,50023 zł,4117930,false,12.8.2014,13.1.2016
682,Stronghold,2137187502,Odelinda Wahner,823 dni,63676 zł,6225335,false,27.12.2014,3.8.2022
683,Redhold,959645941,Bordy Searston,398 dni,38 zł,4325386,false,6.9.2015,27.2.2016
684,Fintone,410825035,Deb Stiger,659 dni,516 zł,1017854,true,20.5.2013,28.7.2017
685,Vagram,3955969101,Ana Pyrah,405 dni,71330 zł,6405482,true,11.5.2014,2.12.2021
686,Domainer,3378937716,Teodora Willarton,323 dni,8666 zł,6891515,true,12.8.2015,10.12.2017
687,Keylex,6237127481,Even Aldred,365 dni,5062 zł,6185902,true,7.4.2015,17.9.2016
688,Matsoft,2629614440,Colleen Alesio,267 dni,24479 zł,8554723,false,6.10.2013,18.10.2018
689,Voltsillam,8745774287,Ximenez Richford,334 dni,1720 zł,4241135,false,30.9.2014,29.9.2018
690,Temp,167765645,Minette Crus,362 dni,29872 zł,6977538,false,7.10.2015,14.12.2016
691,Zontrax,4862337785,Ethelind Morratt,864 dni,57720 zł,2337238,false,5.8.2015,6.10.2020
692,Bitwolf,7691429453,Sissie Scuse,461 dni,1367 zł,4518503,true,4.11.2014,4.9.2022
693,Subin,1927376285,Richy Josilowski,50 dni,52275 zł,5547283,false,30.12.2013,8.11.2016
694,Flowdesk,7188535817,Elaina McRory,670 dni,25585 zł,749062,true,7.9.2012,24.9.2016
695,Prodder,1197644150,Nikolas Huddy,144 dni,33811 zł,7538034,true,24.1.2014,21.10.2018
696,Trippledex,8045026739,Felicia Koles,339 dni,23364 zł,520813,true,15.7.2014,30.1.2017
697,Tempsoft,2128518569,Devi Gallyon,442 dni,22475 zł,4279159,false,23.9.2012,26.10.2018
698,Bamity,2540274475,Ramon Traill,502 dni,48233 zł,1399194,true,12.12.2014,6.11.2019
699,Latlux,1425619173,Ximenes Howells,539 dni,32105 zł,1418157,true,9.2.2014,5.2.2019
700,Greenlam,9210550399,Demott Caddens,829 dni,53006 zł,5510745,true,10.11.2012,27.2.2019
701,Toughjoyfax,4370533846,Sianna MacDearmont,816 dni,26773 zł,6634932,false,30.1.2014,9.1.2021
702,Tresom,8516864461,Sheff Simeonov,430 dni,25626 zł,8684982,true,25.1.2013,10.11.2020
703,Treeflex,8480590057,Verge Gotcliffe,851 dni,3119 zł,7784845,true,24.1.2014,17.11.2017
704,Fix San,7822417207,Linnie Wyke,809 dni,77993 zł,2926912,true,20.1.2013,30.6.2020
705,Prodder,4206977062,Inez Scorrer,666 dni,3638 zł,486780,true,7.8.2015,6.3.2022
706,Konklux,6141797723,Vasili Piken,420 dni,99697 zł,8493890,false,19.4.2013,13.9.2020
707,Ventosanzap,1370839564,Bert Loughnan,163 dni,55280 zł,8597678,true,1.4.2014,17.4.2017
708,Tin,2005541262,Roscoe Craven,581 dni,71143 zł,7581473,false,8.12.2014,25.7.2016
709,Y-find,9383797911,Rodolphe Giriardelli,857 dni,50048 zł,6379800,false,13.8.2013,2.11.2020
710,Y-find,1759421633,Elberta Elen,877 dni,34405 zł,931941,false,17.6.2015,5.10.2021
711,Rank,5055414263,Ceil Stebbings,463 dni,56822 zł,7297849,true,15.10.2014,19.1.2018
712,Biodex,3288889208,Ephrayim Bucklee,24 dni,16826 zł,8951351,true,9.7.2015,14.8.2020
713,Bitchip,3858911044,Flint Choupin,862 dni,79609 zł,3136919,false,25.6.2015,4.8.2018
714,Andalax,7662832103,Paddy Heeley,180 dni,23614 zł,8657320,false,24.5.2014,28.5.2021
715,Fix San,9330865991,Gena Paoletti,460 dni,82986 zł,7269138,false,19.2.2013,4.12.2021
716,Biodex,5314789001,Nikolai Dulany,477 dni,40401 zł,8353039,true,16.7.2014,2.7.2019
717,Daltfresh,1702723160,Godfry Dauby,566 dni,44772 zł,194367,false,1.11.2015,5.5.2020
718,Zathin,6874288630,Torin Hought,119 dni,83394 zł,9740545,false,6.5.2013,31.12.2017
719,Toughjoyfax,460325851,Keriann Highwood,519 dni,80023 zł,6766687,true,19.1.2013,27.12.2018
720,Lotlux,6471630885,Vaclav Gout,122 dni,89669 zł,5584312,false,26.10.2012,28.2.2016
721,Aerified,8927456394,Vilma Gettins,457 dni,96263 zł,9622390,false,26.6.2013,31.8.2022
722,Lotstring,2284457314,Maribel Simenon,494 dni,56739 zł,6296497,false,15.1.2015,2.5.2018
723,Kanlam,5394869275,Vin Eubank,134 dni,86452 zł,151900,true,1.6.2014,27.3.2020
724,Zamit,619531498,Donnie Echallie,139 dni,65635 zł,7485664,false,12.3.2014,16.4.2016
725,Pannier,9340613021,Alec Caso,269 dni,65961 zł,276982,true,25.12.2013,16.9.2018
726,Stronghold,5650476197,Berry Lavery,279 dni,17134 zł,7001547,true,7.4.2014,27.7.2017
727,Flexidy,1584352427,Tatum Stieger,246 dni,89719 zł,9590701,false,12.1.2015,11.2.2018
728,Prodder,5422354599,Birdie Cassely,618 dni,97256 zł,9520774,true,26.10.2013,27.6.2018
729,Opela,1194033005,Jobina Spreull,61 dni,39860 zł,8177315,false,12.9.2012,16.8.2016
730,Holdlamis,1667528811,Wolfie Earpe,252 dni,87853 zł,7935549,false,5.11.2014,10.1.2021
731,Asoka,4395495086,Pippy Pozzi,159 dni,4613 zł,4178905,false,14.8.2012,20.5.2021
732,Latlux,7144928214,Decca Losselyong,357 dni,10425 zł,1033867,false,12.1.2015,27.3.2020
733,Wrapsafe,8779683659,Urban Cheke,202 dni,34110 zł,5983737,true,27.11.2013,8.6.2021
734,Home Ing,4561282271,Danit Dearnaly,288 dni,35826 zł,2585252,false,22.5.2013,12.10.2022
735,Zamit,7073082271,Sheila-kathryn Dorran,585 dni,71222 zł,7053755,true,10.12.2014,30.9.2018
736,Stronghold,3231361297,Barby Dyer,381 dni,20390 zł,78989,false,7.10.2012,21.12.2017
737,Alphazap,8122028907,Anstice Dillon,139 dni,10665 zł,6552120,false,8.12.2014,24.9.2019
738,Voltsillam,2592988565,Marisa Gusticke,783 dni,60331 zł,9539918,true,14.11.2014,26.8.2017
739,Viva,5306816085,Terri Dible,557 dni,39173 zł,8924743,true,1.4.2014,26.8.2019
740,Otcom,3169745050,Sue O' Mullane,520 dni,13767 zł,175224,false,8.3.2014,30.1.2021
741,Ventosanzap,2420590554,Claribel Palffrey,58 dni,94142 zł,66035,true,7.5.2015,15.12.2021
742,Bitwolf,8701929381,Llywellyn Klosges,202 dni,83311 zł,9377864,false,26.12.2014,24.8.2016
743,Lotlux,7682569405,Edgar Leimster,527 dni,5349 zł,3966217,false,1.1.2013,5.2.2017
744,Veribet,1735458855,Niles Hirtz,110 dni,34023 zł,5322033,false,28.3.2013,22.8.2019
745,Sub-Ex,7773184929,Scot Cottisford,685 dni,1667 zł,2960401,false,15.10.2012,1.5.2018
746,Bitwolf,2126742169,Giralda Fernihough,882 dni,76693 zł,5165310,false,3.11.2014,4.9.2017
747,Fix San,9712549602,Dominick Whaymand,390 dni,93659 zł,2048490,false,25.7.2015,18.8.2019
748,Alpha,579933748,Tansy Shand,366 dni,59082 zł,6516871,false,18.3.2015,4.4.2016
749,Fix San,8422577526,Weidar Heake,257 dni,18530 zł,4044472,true,6.2.2015,4.7.2022
750,Zathin,4087795175,Chaunce Attew,521 dni,53210 zł,2327309,false,19.5.2014,1.12.2019
751,Tempsoft,642620267,Murielle Sprull,651 dni,77539 zł,9433524,true,5.6.2013,25.10.2022
752,Home Ing,5861416280,Halli Gateland,316 dni,55157 zł,2821609,true,18.2.2013,2.5.2017
753,Latlux,3408709946,Esme Dolman,117 dni,84251 zł,8248404,false,20.12.2012,8.8.2018
754,Job,4624621170,Johanna Lyddyard,874 dni,37256 zł,5687456,true,16.5.2014,11.2.2021
755,Latlux,3362877773,Rhianna Bernette,271 dni,17247 zł,2163069,false,28.1.2014,17.5.2018
756,Lotlux,8253890750,Boony Atrill,770 dni,9625 zł,545668,true,8.2.2015,2.4.2019
757,Solarbreeze,6242533020,Amalea Hucquart,284 dni,58119 zł,3854742,true,4.1.2014,22.3.2020
758,Ventosanzap,4889123007,Nessie Smedley,737 dni,66850 zł,7211467,true,13.5.2014,29.4.2021
759,Tampflex,5527797464,Madelin Eddisford,782 dni,57272 zł,2761131,false,20.9.2012,24.2.2021
760,Tin,9172850912,Deloria Gulliman,264 dni,52124 zł,4123600,true,28.10.2012,24.7.2021
761,Greenlam,6962148732,Marten Ianilli,170 dni,10783 zł,3985942,true,17.11.2012,25.1.2017
762,Konklux,4602596077,Florie La Batie,417 dni,92186 zł,2947249,true,8.1.2014,3.3.2020
763,Tampflex,68214716,Donovan Kimmins,373 dni,59554 zł,1639820,false,8.9.2013,6.11.2021
764,Sonair,3529901091,Sibby Sivewright,631 dni,96205 zł,4038885,false,4.10.2014,22.9.2018
765,Domainer,6239616614,Fiorenze Warlock,140 dni,98673 zł,3822411,true,25.7.2013,3.7.2016
766,Daltfresh,3127774438,Christoper Sparks,371 dni,10971 zł,6451112,false,21.10.2014,12.3.2022
767,Bigtax,9388739862,Adella Rome,162 dni,96608 zł,9140916,true,2.11.2012,18.3.2020
768,Duobam,5752144363,Say Childers,331 dni,55481 zł,4454580,true,22.3.2014,1.1.2016
769,Sonsing,75713056,Nial Urwen,540 dni,67368 zł,2331804,true,13.4.2015,27.9.2018
770,Bytecard,978597024,Kettie Ketteman,550 dni,4165 zł,4297870,false,11.9.2012,7.6.2017
771,Span,5169071966,Burt Trenfield,133 dni,27306 zł,1587579,true,11.7.2013,24.8.2020
772,Fintone,2871463937,Forrest Champain,131 dni,41474 zł,7018540,true,17.8.2013,15.9.2022
773,Konklux,7522871226,Ladonna Aleksankov,548 dni,27518 zł,7080621,true,3.10.2015,29.1.2021
774,Vagram,5296185964,Aylmar Gennerich,822 dni,33137 zł,2011528,true,4.7.2015,10.6.2016
775,Treeflex,3218585322,Turner Drillot,497 dni,67272 zł,6565220,false,13.3.2013,28.4.2019
776,Hatity,291352353,Merl Hoodlass,98 dni,95808 zł,1111873,false,14.11.2015,19.5.2020
777,Tampflex,4479714061,Simeon Kelland,200 dni,23518 zł,864774,true,13.12.2014,13.1.2021
778,Stim,521948979,Sharai Filchagin,102 dni,77795 zł,4563001,true,1.8.2014,17.9.2018
779,Holdlamis,1138362494,Theresita Quittonden,357 dni,14057 zł,7395213,false,2.10.2014,7.7.2021
780,Y-find,4315209200,Franny Forlong,156 dni,66468 zł,7057935,true,25.12.2012,7.11.2018
781,Viva,4416102521,Sam Fee,127 dni,62752 zł,4552006,false,14.11.2013,16.2.2017
782,Prodder,8142647803,Latisha Dahmke,69 dni,59368 zł,8455382,true,20.9.2013,21.3.2022
783,Keylex,3341055110,Ange Bricklebank,6 dni,52919 zł,4009523,true,19.3.2014,27.12.2015
784,Job,8927325772,Sayre Simkiss,695 dni,36280 zł,9595409,true,2.6.2014,27.7.2022
785,Otcom,4079302361,Say MacClay,455 dni,71075 zł,3252171,true,19.8.2015,17.9.2016
786,Otcom,3017615154,Sherill Hickisson,690 dni,4349 zł,841034,false,22.3.2013,17.11.2016
787,Stim,5547414832,Catlee Skinn,538 dni,58023 zł,8535035,true,16.8.2015,25.8.2020
788,Domainer,8079332094,Quentin Kilpin,247 dni,50274 zł,6205883,false,2.5.2015,21.9.2019
789,Andalax,8950397457,Hesther Pietersen,637 dni,42060 zł,7767258,false,20.1.2014,25.9.2017
790,Fix San,6533325306,Victoir Sabie,427 dni,20970 zł,7049466,true,11.5.2014,16.5.2016
